Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
Senior Project Executive/ Business Analyst (5 days work),Tech Nine Limited,2,True,Information & Communication Technology,2024-07-16 04:00:00,77275689,https://hk.jobsdb.com/job/77275689,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
"Wealth Strategist /Management Trainee, Financial Advisor /Intern (畢業生優先/無相關經驗要求)",CCKW Financial Consultant Co.,,False,Banking & Financial Services,2024-07-09 04:00:00,77123557,https://hk.jobsdb.com/job/77123557,Causeway Bay,Wan Chai,Hong Kong,45999,68999
Data Engineer/ Project Manager/ System Analyst/ System Support - ETL (~65k),Seamatch Asia Limited,2,False,Information & Communication Technology,2024-07-11 04:00:00,77183466,https://hk.jobsdb.com/job/77183466,,Hong Kong Island,Hong Kong,0,0
IT Operator,Industrial and Commercial Bank of China (Asia) Limited,1,False,Information & Communication Technology,2024-07-05 04:00:00,77048100,https://hk.jobsdb.com/job/77048100,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
IT Business Analyst – Agency Contractor,Chiyu Banking Corp Ltd,3,False,Information & Communication Technology,2024-07-13 04:00:00,77252996,https://hk.jobsdb.com/job/77252996,Central,Central and Western,Hong Kong,0,0
Associate Business Analyst/ Junior Business Analyst,Macroview Telecom Limited,1,True,Information & Communication Technology,2024-07-09 04:00:00,77108679,https://hk.jobsdb.com/job/77108679,Quarry Bay,Eastern,Hong Kong,0,0
Researcher,Logistics and Supply Chain MultiTech R&D Centre Limited,,False,Information & Communication Technology,2024-07-17 04:00:00,77321868,https://hk.jobsdb.com/job/77321868,Pok Fu Lam,Southern,Hong Kong,0,0
"Lead, Business Compliance Advisory - Mox (4449)",Standard Chartered Bank,7,False,Banking & Financial Services,2024-07-03 04:00:00,76982987,https://hk.jobsdb.com/job/76982987,Quarry Bay,Eastern,Hong Kong,34000,35000
2024 Graduate Program - Assurance - Data Analytics - Hong Kong,EY,,False,Accounting,2024-07-09 04:00:00,77112014,https://hk.jobsdb.com/job/77112014,Quarry Bay,Eastern,Hong Kong,0,0
Assistant Product Manager,HKT Consumer Business Group,5,True,Information & Communication Technology,2024-07-06 04:00:00,77075465,https://hk.jobsdb.com/job/77075465,Quarry Bay,Eastern,Hong Kong,0,0
Analyst Programmer / Programmer (Decision Support Services Team),TradeLink Technologies Ltd,,True,Information & Communication Technology,2024-06-28 04:00:00,76860320,https://hk.jobsdb.com/job/76860320,Hung Hom,Kowloon City,Kowloon,0,0
Business Intelligence Engineer,Taste of Asia Group Limited,1,False,Information & Communication Technology,2024-06-28 04:00:00,76876725,https://hk.jobsdb.com/job/76876725,Diamond Hill,Wong Tai Sin,Kowloon,0,0
Data Centre Operator (Overnight shift is required) Tseung Kwan O,Concord Information Technology International Ltd,1,True,Information & Communication Technology,2024-07-03 04:00:00,76987439,https://hk.jobsdb.com/job/76987439,Tseung Kwan O Industrial Estate,Sai Kung,New Territories,18000,23000
Senior Business Analyst,Hang Lung Properties Limited,5,False,Information & Communication Technology,2024-07-11 04:00:00,77181198,https://hk.jobsdb.com/job/77181198,Quarry Bay,Eastern,Hong Kong,0,0
