Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Classification,Posted Date,Job ID,URL,Exaction Location,District,Area,Min_Salary,Max_Salary
"Senior Analyst, Cyber Security",Hong Kong Productivity Council,2,False,Information & Communication Technology,2024-07-12 07:00:00,77213696,https://hk.jobsdb.com/job/77213696,Kowloon Tong,Kowloon City,Kowloon,0,0
"Analyst, Operations Control, Business Operations Department 运营保障管理",China Merchants Securities International Company Limited,3,False,Banking & Financial Services,2024-07-11 07:00:00,77181119,https://hk.jobsdb.com/job/77181119,Kwun Tong,Kwun Tong,Kowloon,0,0
Senior Business Development Officer(Virtual Banking),HKT Teleservices,,True,Banking & Financial Services,2024-07-13 07:00:00,77235733,https://hk.jobsdb.com/job/77235733,Quarry Bay,Eastern,Hong Kong,18000,27000
Financial Analyst (financial planning and analysis),Recruit Express (Hong Kong) Limited,5,False,Accounting,2024-07-16 07:00:00,77293754,https://hk.jobsdb.com/job/77293754,,Islands,New Territories,30000,35000
"Assistant Officer, Diamond Department (Data Analysis)",CHOW TAI FOOK JEWELLERY CO LTD,3,False,"Manufacturing, Transport & Logistics",2024-07-16 07:00:00,77288285,https://hk.jobsdb.com/job/77288285,Central,Central and Western,Hong Kong,0,0
Health Informatics Analyst,Hong Kong Baptist University,5,True,Information & Communication Technology,2024-07-13 07:00:00,77245429,https://hk.jobsdb.com/job/77245429,Kowloon Tong,Kowloon City,Kowloon,0,0
Assistant Manager Cargo Digital,Cathay Pacific Airways Ltd,5,False,"Manufacturing, Transport & Logistics",2024-07-17 07:00:00,77319171,https://hk.jobsdb.com/job/77319171,Lantau Island,Islands,New Territories,0,0
Assistant / Procurement Manager,LPM Group Limited,1,True,"Manufacturing, Transport & Logistics",2024-07-17 07:00:00,77319594,https://hk.jobsdb.com/job/77319594,Central,Central and Western,Hong Kong,0,0
Senior Business Analyst,Savills (Hong Kong) Limited,5,True,Information & Communication Technology,2024-07-09 07:00:00,77119070,https://hk.jobsdb.com/job/77119070,Tai Koo,Eastern,Hong Kong,0,0
Manager (Long Term Business),Insurance Authority,5,False,Insurance & Superannuation,2024-07-13 07:00:00,77234401,https://hk.jobsdb.com/job/77234401,,Southern,Hong Kong,0,0
"Analyst, OTC - Derivatives Structured Product, Business Operation",BOC International Holdings Ltd,1,False,Banking & Financial Services,2024-07-11 07:00:00,77183250,https://hk.jobsdb.com/job/77183250,Sheung Wan,Central and Western,Hong Kong,0,0
KYC Checker - Foreign Corporate Bank,Morgan Mckinley Limited,1,False,Banking & Financial Services,2024-07-13 07:00:00,77235447,https://hk.jobsdb.com/job/77235447,,Kowloon City,Kowloon,50000,54000
Project Manager - Organisation & Productivity Management,"The Bank of East Asia, Limited",5,False,Information & Communication Technology,2024-07-16 07:00:00,77292693,https://hk.jobsdb.com/job/77292693,Kwun Tong,Kwun Tong,Kowloon,0,0
"Assistant Manager, Business Application Development",SmarTone Telecommunications Limited,7,False,Information & Communication Technology,2024-07-17 17:00:00,77349341,https://hk.jobsdb.com/job/77349341,Ngau Tau Kok,Kwun Tong,Kowloon,0,0
Universal Banker - Wealth and Personal Banking,HSBC,,False,Banking & Financial Services,2024-07-16 07:00:00,77281749,https://hk.jobsdb.com/job/77281749,Tsim Sha Tsui,Yau Tsim Mong,Kowloon,0,0
Associate Product Manager/Product Manager,Otsuka Pharmaceutical (H.K.) Ltd,3,False,Marketing & Communications,2024-07-13 07:00:00,77242755,https://hk.jobsdb.com/job/77242755,Causeway Bay,Wan Chai,Hong Kong,0,0
Senior Business Analyst,Futurus Career Partners Limited,5,False,Banking & Financial Services,2024-07-09 07:00:00,77109185,https://hk.jobsdb.com/job/77109185,,Central and Western,Hong Kong,0,0
Product Specialist at Suntime Technology Limited,Jobsdb - SmartHire,1,True,Healthcare & Medical,2024-07-16 07:00:00,77279605,https://hk.jobsdb.com/job/77279605,Kowloon Bay,Kwun Tong,Kowloon,0,0
IT Business Analyst – MNC,Charterhouse Limited,2,False,Information & Communication Technology,2024-06-29 07:00:00,76895795,https://hk.jobsdb.com/job/76895795,,,Hong Kong,0,0
Engineer- Incident & Change management  (Ref: JDB- QM),NTT Com Asia Limited,8,False,Information & Communication Technology,2024-07-12 07:00:00,77201318,https://hk.jobsdb.com/job/77201318,Tseung Kwan O,Sai Kung,New Territories,0,0
Head of Project Management / Senior Project Manager,WCL Solution Limited,5,False,Information & Communication Technology,2024-07-14 07:00:00,77263453,https://hk.jobsdb.com/job/77263453,Lai Chi Kok,Sham Shui Po,Kowloon,0,0
(Up to 55K-75K) System Analyst/ Analyst Programmer / Business Analyst,Seamatch Asia Limited,2,True,Information & Communication Technology,2024-07-09 07:00:00,77107966,https://hk.jobsdb.com/job/77107966,Central,Central and Western,Hong Kong,55000,75000
Business Analyst,AT Global Services Limited,3,False,Information & Communication Technology,2024-06-28 07:00:00,76872490,https://hk.jobsdb.com/job/76872490,Wan Chai,Wan Chai,Hong Kong,0,0
Business Analyst,Haitong International Management Services Company Limited,5,False,Information & Communication Technology,2024-06-28 07:00:00,76891214,https://hk.jobsdb.com/job/76891214,,Southern,Hong Kong,0,0
IT Project Manager,Recruit Squad Limited,8,False,Information & Communication Technology,2024-07-15 07:00:00,77269893,https://hk.jobsdb.com/job/77269893,Causeway Bay,Wan Chai,Hong Kong,0,0
Japanese Speaking IT Sales (SDG-105983),RGF HR Agent Hong Kong Limited,,False,Information & Communication Technology,2024-07-17 10:00:00,77334913,https://hk.jobsdb.com/job/77334913,,Central and Western,Hong Kong,18000,25000
System Analysis (Institutional Business),Guotai Junan International Holdings Limited,3,True,Information & Communication Technology,2024-07-12 07:00:00,74638921,https://hk.jobsdb.com/job/74638921,,Central and Western,Hong Kong,0,0
Trading Systems Application Support/ Production Support Analyst,Robert Walters (HK) Ltd,2,False,Information & Communication Technology,2024-07-17 07:00:00,77325179,https://hk.jobsdb.com/job/77325179,,Central and Western,Hong Kong,500000,800000
CBS - Finance - Financial Management - Senior Associate - Hong Kong,EY,2,False,Accounting,2024-07-09 07:00:00,77116137,https://hk.jobsdb.com/job/77116137,Quarry Bay,Eastern,Hong Kong,0,0
Financial Analyst / Senior Financial Analyst (E-comm) (6-9 Months Contract),Lululemon,5,False,Accounting,2024-07-16 07:00:00,77292567,https://hk.jobsdb.com/job/77292567,Tin Hau,Eastern,Hong Kong,0,0
