Title,Company,Min. Years of Exp. Required,Fresh Grad,Location,Classification,Salary,Posted Date,Job ID,URL
Business Analyst (Automation),AT Global Services Limited,3,,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-11 22:00:00,77218184,https://hk.jobsdb.com/job/77218184
Digital Product Specialist,Plotio Financial Group Limited,2,,"Tsim Sha Tsui, Yau Tsim Mong District",Marketing & Communications,,2024-07-16 22:00:00,77310030,https://hk.jobsdb.com/job/77310030
Assistant Business Analyst,BBMSL Limited,,True,Tsuen Wan District,Consulting & Strategy,,2024-07-11 22:00:00,77213263,https://hk.jobsdb.com/job/77213263
"Deputy Manager to SM, SME Business (Online Acquiring BD Manager)",Industrial and Commercial Bank of China (Asia) Limited,3,,"Kwun Tong, Kwun Tong District",Sales,,2024-07-15 22:00:00,77283696,https://hk.jobsdb.com/job/77283696
Financial Analyst,Albaugh Asia Pacific Limited,5,,"Chai Wan, Eastern District",Accounting,,2024-07-13 22:00:00,77264431,https://hk.jobsdb.com/job/77264431
IT Project Manager,Uni-China (Business) Management Limited,5,,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-11 22:00:00,77218267,https://hk.jobsdb.com/job/77218267
"Business analyst (digital project, 22k-26k)",Linkers International Limited,2,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$20,000 - $28,000 per month",2024-07-10 22:00:00,77179585,https://hk.jobsdb.com/job/77179585
(Assistant) Officer – Business reporting/ Analysis *Fresh graduates are welcome,San Miguel Brewery Hong Kong Limited,1,,Sha Tin District,Sales,,2024-07-08 22:00:00,77124468,https://hk.jobsdb.com/job/77124468
Business Analyst,"Polar Air Cargo Worldwide, Inc",1,,"Tung Chung, Islands District",Information & Communication Technology,,2024-07-12 22:00:00,76607233,https://hk.jobsdb.com/job/76607233
IT Project Manager - Technical,"Miramar Hotel and Investment Company, Limited",7,True,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,,2024-07-12 22:00:00,77252437,https://hk.jobsdb.com/job/77252437
Business Analyst,Green Tomato Limited,1,,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-10 22:00:00,75341607,https://hk.jobsdb.com/job/75341607
Regional Business Analyst,Ricoh Asia Pacific Operations Limited,4,,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-12 22:00:00,77226969,https://hk.jobsdb.com/job/77226969
Project Officer (Digital Transformation) Entry level,HKT,3,,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-17 19:00:00,77353285,https://hk.jobsdb.com/job/77353285
Senior Operations Analyst (FX Settlement & Reconciliation),Currenxie Limited,4,,"Quarry Bay, Eastern District",Banking & Financial Services,,2024-07-15 22:00:00,77277599,https://hk.jobsdb.com/job/77277599
Business Analyst,Arch Partnership Limited,2,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-10 22:00:00,77181646,https://hk.jobsdb.com/job/77181646
Data Analyst / Senior Data Analyst,Lauris Walton International Limited,2,,"Causeway Bay, Wan Chai District",Information & Communication Technology,,2024-07-17 09:00:00,77333789,https://hk.jobsdb.com/job/77333789
"Digital Centre of Excellence (Assistant) Manager, Business Insights",DFI Development (HK) Limited,5,,"Quarry Bay, Eastern District",Consulting & Strategy,,2024-07-11 22:00:00,77198859,https://hk.jobsdb.com/job/77198859
"Sr. Analyst, Apparel Development",Under Armour Asia Limited,4,,"Kowloon Bay, Kwun Tong District",Retail & Consumer Products,,2024-07-17 18:00:00,77353112,https://hk.jobsdb.com/job/77353112
Terminal Planning Analyst II 二級碼頭規劃分析主任,Modern Terminals Ltd,2,True,"Kwai Chung, Kwai Tsing District","Manufacturing, Transport & Logistics",,2024-07-11 22:00:00,77205863,https://hk.jobsdb.com/job/77205863
"Digital Analyst, Omni-channel Activation",Cathay Pacific Airways Ltd,2,,"Tung Chung, Islands District",Information & Communication Technology,,2024-07-16 22:00:00,77309092,https://hk.jobsdb.com/job/77309092
Assistant Business Analyst / Business Analyst,AAStocks.com Limited,1,,"Kwun Tong, Kwun Tong District",Information & Communication Technology,,2024-07-12 22:00:00,77252515,https://hk.jobsdb.com/job/77252515
Business Analyst (Digital Workplace Transformation),WCL Solution Limited,3,,"Cheung Sha Wan, Sham Shui Po District",Information & Communication Technology,,2024-07-12 22:00:00,77235256,https://hk.jobsdb.com/job/77235256
"Manager, Policy Administration (Project Team)",FTLife Insurance Company Limited,5,True,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-10 22:00:00,77183311,https://hk.jobsdb.com/job/77183311
Assistant Business Development Manager (Research & analysis focus),Messe Frankfurt (HK) Ltd,5,,"Wan Chai, Wan Chai District",Marketing & Communications,,2024-07-15 22:00:00,77291005,https://hk.jobsdb.com/job/77291005
