Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Senior Project Executive/ Business Analyst (5 days work),Tech Nine Limited,2,True,"Lai Chi Kok, Sham Shui Po District",Information & Communication Technology,,2024-07-16 04:00:00,77275689,https://hk.jobsdb.com/job/77275689
"Wealth Strategist /Management Trainee, Financial Advisor /Intern (畢業生優先/無相關經驗要求)",CCKW Financial Consultant Co.,,False,"Causeway Bay, Wan Chai District",Banking & Financial Services,"$45,999 - $68,999 per month",2024-07-09 04:00:00,77123557,https://hk.jobsdb.com/job/77123557
Data Engineer/ Project Manager/ System Analyst/ System Support - ETL (~65k),Seamatch Asia Limited,2,False,Hong Kong Island,Information & Communication Technology,,2024-07-11 04:00:00,77183466,https://hk.jobsdb.com/job/77183466
IT Operator,Industrial and Commercial Bank of China (Asia) Limited,1,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,,2024-07-05 04:00:00,77048100,https://hk.jobsdb.com/job/77048100
IT Business Analyst – Agency Contractor,Chiyu Banking Corp Ltd,3,False,"Central, Central and Western District",Information & Communication Technology,,2024-07-13 04:00:00,77252996,https://hk.jobsdb.com/job/77252996
Associate Business Analyst/ Junior Business Analyst,Macroview Telecom Limited,1,True,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-09 04:00:00,77108679,https://hk.jobsdb.com/job/77108679
Researcher,Logistics and Supply Chain MultiTech R&D Centre Limited,,False,"Pok Fu Lam, Southern District",Information & Communication Technology,,2024-07-17 04:00:00,77321868,https://hk.jobsdb.com/job/77321868
"Lead, Business Compliance Advisory - Mox (4449)",Standard Chartered Bank,7,False,"Quarry Bay, Eastern District",Banking & Financial Services,"$34,000 - $35,000 per month",2024-07-03 04:00:00,76982987,https://hk.jobsdb.com/job/76982987
2024 Graduate Program - Assurance - Data Analytics - Hong Kong,EY,,False,"Quarry Bay, Eastern District",Accounting,,2024-07-09 04:00:00,77112014,https://hk.jobsdb.com/job/77112014
Assistant Product Manager,HKT Consumer Business Group,5,True,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-06 04:00:00,77075465,https://hk.jobsdb.com/job/77075465
Analyst Programmer / Programmer (Decision Support Services Team),TradeLink Technologies Ltd,,True,"Hung Hom, Kowloon City District",Information & Communication Technology,,2024-06-28 04:00:00,76860320,https://hk.jobsdb.com/job/76860320
Business Intelligence Engineer,Taste of Asia Group Limited,1,False,"Diamond Hill, Wong Tai Sin District",Information & Communication Technology,,2024-06-28 04:00:00,76876725,https://hk.jobsdb.com/job/76876725
Data Centre Operator (Overnight shift is required) Tseung Kwan O,Concord Information Technology International Ltd,1,True,"Tseung Kwan O Industrial Estate, Sai Kung District",Information & Communication Technology,"$18,000 - $23,000 per month",2024-07-03 04:00:00,76987439,https://hk.jobsdb.com/job/76987439
Senior Business Analyst,Hang Lung Properties Limited,5,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-11 04:00:00,77181198,https://hk.jobsdb.com/job/77181198
