Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Business Analyst,Ricacorp Properties Limited,1,False,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-17 06:00:00,77305357,https://hk.jobsdb.com/job/77305357
Assistant IT Project Manager- APAC,OnTheList Limited,,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-17 06:00:00,77320488,https://hk.jobsdb.com/job/77320488
Business Analyst (E-Commerce),DCH Business Innovations,,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-17 06:00:00,77318917,https://hk.jobsdb.com/job/77318917
Business Analyst - Insurance,Captar Partners Limited,3,False,Central and Western District,Information & Communication Technology,HKD 550000 - 700000 per annum,2024-07-17 06:00:00,77310187,https://hk.jobsdb.com/job/77310187
Data Analyst (Oracle preferred),Jobsdb - SmartHire,3,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-07-17 06:00:00,76859731,https://hk.jobsdb.com/job/76859731
Backend Developer (Business Analyst),UBS AG,,False,Hong Kong,Information & Communication Technology,,2024-07-17 22:00:00,77358926,https://hk.jobsdb.com/job/77358926
Assistant Business Analyst,AXA Hong Kong,,True,"Wong Chuk Hang, Southern District",Information & Communication Technology,work from home,2024-07-17 06:00:00,77322798,https://hk.jobsdb.com/job/77322798
"Business Analyst - AI - Call Centre Revamp project- HKD 45,000 per month",Techforce Group Limited,,False,Central and Western District,Information & Communication Technology,"$35,000 - $45,000 per month",2024-07-17 06:00:00,77317942,https://hk.jobsdb.com/job/77317942
Business Analyst - Associate - Technology Service Operations (R001944),Hong Kong Exchanges & Clearing Ltd,2,False,Hong Kong,Banking & Financial Services,,2024-07-17 13:00:00,77342315,https://hk.jobsdb.com/job/77342315
"Analyst - Payment Investigation, Technology & Operations",DBS Bank (Hong Kong) Limited,5,False,Kwun Tong District,Accounting,,2024-07-17 20:00:00,77353789,https://hk.jobsdb.com/job/77353789
Technology – ERP/ CRM Business Analyst,Accenture Technology Solutions (HK) Ltd,2,False,Kowloon,Information & Communication Technology,,2024-07-17 06:00:00,77315642,https://hk.jobsdb.com/job/77315642
Business Analyst - Leading Securities Firm - 4 to 6 months bonus,Be Myjob Company Limited,,False,Hong Kong Island,Information & Communication Technology,,2024-07-17 06:00:00,77323450,https://hk.jobsdb.com/job/77323450
System / Business Analyst,Cargo Services Far East Ltd,5,False,"Kwai Chung, Kwai Tsing District",Information & Communication Technology,,2024-07-10 06:00:00,77138345,https://hk.jobsdb.com/job/77138345
Junior Business Analyst - Insurance MNC - Agile,TEKsystems,1,False,Central and Western District,Information & Communication Technology,,2024-07-17 06:00:00,77307719,https://hk.jobsdb.com/job/77307719
Business Analyst/ Project Manager- Investment- 50-60k,Ambition,6,False,Central and Western District,Information & Communication Technology,,2024-07-17 06:00:00,77316875,https://hk.jobsdb.com/job/77316875
Business Analyst (Finacial Services),Be Myjob Company Limited,5,False,Central and Western District,Information & Communication Technology,,2024-07-16 06:00:00,77276623,https://hk.jobsdb.com/job/77276623
