Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL
Chief ESG Controller,China Wantian Holdings Limited,5,False,"Kowloon Bay, Kwun Tong District",Consulting & Strategy,,2024-07-10 09:00:00,77152149,https://hk.jobsdb.com/job/77152149
Assistant Sales Manager (Fresh Grads Welcome),Source Pro Industries Limited,5,True,"Kowloon Bay, Kwun Tong District",Sales,,2024-07-17 09:00:00,77320922,https://hk.jobsdb.com/job/77320922
IT Specialist (Application Release Management),Hong Kong Air Cargo Terminals Ltd,6,False,"Airport Area, Islands District",Information & Communication Technology,,2024-07-13 09:00:00,74478395,https://hk.jobsdb.com/job/74478395
E-Commerce Online Shop Specialist,Pacific Gourmet Holdings Limited,,False,"Chai Wan, Eastern District",Sales,,2024-07-13 09:00:00,77252901,https://hk.jobsdb.com/job/77252901
Commercialisation Officer / Administrative Officer (Post A) / Centre...,Centre for Intelligent Multidimensional Data Analysis Limited,2,False,Sha Tin District,Administration & Office Support,,2024-07-06 09:00:00,77060168,https://hk.jobsdb.com/job/77060168
Software Engineer / Application Analyst / Business Analyst / Programmer Trainee,Suga Electronics Limited,2,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-07-05 09:00:00,77041231,https://hk.jobsdb.com/job/77041231
AI Developer,Pathsight Limited,1,False,"Tsim Sha Tsui, Yau Tsim Mong District",Information & Communication Technology,"$30,000 - $45,000 per month",2024-07-08 09:00:00,77099274,https://hk.jobsdb.com/job/77099274
"System Analyst (Private Banking Team) -Top Financial Institution, $35K - $50K/m",SIRIUS Partners Limited,,False,"Kwun Tong, Kwun Tong District",Banking & Financial Services,"$35,000 - $50,000 per month",2024-07-08 09:00:00,77103443,https://hk.jobsdb.com/job/77103443
"(Senior) Data Engineer (Cloud-based, Azure, ETL, Power BI, Python)",Seamatch Asia Limited,2,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-06-27 09:00:00,76832408,https://hk.jobsdb.com/job/76832408
SENIOR CREDIT ANALYST (US Listed Company),DNA Recruit Partners Limited,3,False,"Kowloon Bay, Kwun Tong District",Banking & Financial Services,,2024-07-17 09:00:00,77305274,https://hk.jobsdb.com/job/77305274
Strategy Expert/Manager（Customer retention and re-engagement）,Fortune&Future Hong Kong Limited,,False,Hong Kong Island,Sales,,2024-07-09 09:00:00,77118269,https://hk.jobsdb.com/job/77118269
"Manager, Risk Monitoring and Management (Retail Credit Management)",Bank of Communications (Hong Kong) Limited,5,False,Hong Kong,Banking & Financial Services,,2024-07-09 09:00:00,77110863,https://hk.jobsdb.com/job/77110863
System Analyst,PCCW Global Limited,,False,Hong Kong,Information & Communication Technology,,2024-07-06 09:00:00,77080487,https://hk.jobsdb.com/job/77080487
"Associate, User Experience Journey, Technology & Operations",DBS Bank (Hong Kong) Limited,4,False,Kwun Tong District,Banking & Financial Services,,2024-07-06 09:00:00,77086559,https://hk.jobsdb.com/job/77086559
"Business Analyst, Digital E-Commerce - 30K",Ambition,3,False,Islands District,Information & Communication Technology,$25k - $30k p.m.,2024-07-03 09:00:00,76972125,https://hk.jobsdb.com/job/76972125
PL/SQL & Shell Script: ETL Data Warehouse SA / AP -  Major Bank,IT Solutions Ltd.,3,True,Hong Kong,Information & Communication Technology,,2024-06-30 09:00:00,76928743,https://hk.jobsdb.com/job/76928743
"Specialist, System Analysis",Hong Kong Express Airways Limited,2,True,"Airport Area, Islands District",Information & Communication Technology,,2024-07-09 09:00:00,77132591,https://hk.jobsdb.com/job/77132591
"Manager, Total Rewards",CHOW TAI FOOK JEWELLERY CO LTD,1,True,"Mong Kok, Yau Tsim Mong District",Human Resources & Recruitment,,2024-07-16 09:00:00,77288605,https://hk.jobsdb.com/job/77288605
Analyst Programmer,Delta Asia Financial Group,,True,"Wan Chai, Wan Chai District",Information & Communication Technology,,2024-07-06 09:00:00,77067424,https://hk.jobsdb.com/job/77067424
